FIPS,State,County,Child_Mortality_Rate,Infant_Mortality_Rate,pct_Diabetic,HIV_Prevalence_Rate,pct_Food_Insecure,pct_Limited_Access_to_healthy_foods,Drug_Overdose_Mortality_Rate,MV_Mortality_Rate,pct_Insufficient_Sleep,Household_Income,pct_Homeowners,pct_African_American,pct_American_Indian_Alaskan_Native,pct_Asian,pct_Native_Hawaiian_Other_Pacific_Islander,pct_Hispanic,pct_Non_Hispanic_White,level_0,pct_Fair_Poor,Physically_Unhealthy_Days,Mentally_Unhealthy_Days,pct_LBW,pct_Smokers,pct_Obese,Food_Environment_Index,pct_Physically_Inactive,pct_access_excercise,pct_Excessive_Drinking,pct_Alcohol_Impaired,Chlamydia_Rate,Teen_Birth_Rate,pct_Uninsured,PCP_Rate,Dentist_Rate,MHP_Rate,Preventable_Hosp._Rate,pct_Screened,pct_Vaccinated,Graduation_Rate,pct_Some_College,pct_Unemployed,pct_Children_in_Poverty,Income_Ratio,Violent_Crime_Rate,Injury_Death_Rate,Average_Daily_PM2.5,Presence_of_violation,pct_Severe_Housing_Problems,Case_Rate,Death_Rate
13309,Georgia,Wheeler,69.19972578471497,7.636473050348833,11.8,531.8,22.2,2.5170256791,18.51183033928003,17.997264416,39.128609995,31001,63.843813387,37.059859155,0.1509054326,0.3018108652,0.0377263581,5.3445674044,55.985915493,153,24.503722626,4.6946127179,4.0150317338,9.9767981439,24.961491195,29.6,6.5,29.2,11.144050667,15.527118476,22.222222222,341.6,44.104410441,14.566020314,12.534469999999999,37.80845173394497,105.2509406118548,5852.0,33.0,35.0,87.142857143,30.712423979,8.9306029579,39.9,4.9831002331,50.466818067,50.330925837,10.7,No,9.2039800995,362.5,179.4
13311,Georgia,White,69.19972578471497,7.636473050348833,14.3,82.3,11.9,8.722949124509897,12.693870015,19.771662645,32.784170572,50194,73.128888889,1.9217057685,0.5771907785,0.5330526602,0.0679047975,3.3544969952,92.116253013,154,15.757623118,3.8412560858,3.8724888202,7.7422847861,17.431767339,28.3,7.064986737400531,23.1,74.204244032,15.886221966,19.230769231,183.6,24.349917331,15.742081448,24.23487,30.557160000000003,74.69528,4050.0,45.0,48.0,95.0,50.465196416,3.8869482375,20.6,4.3103810907,173.3132903,75.128314949,9.4,No,16.968625718,472.9,147.2
13313,Georgia,Whitfield,42.1872756,4.6784789966,13.1,140.4,8.4,10.718331663,12.760676699,13.48946239,38.020547257,42568,61.70868189,3.5773662787,1.4103078599,1.5851631027,0.2149859543,35.467904986,58.167555275,155,22.707469467,4.3626138668,4.2587675191,7.9699858041,20.346304562,35.2,8.2,27.4,69.190732853,15.3585467,19.117647059,350.2,42.777977116,21.544510535,58.32353,40.13071,97.4603,5134.0,40.0,48.0,83.811850947,42.213609273,5.4661456609,24.1,4.2850958877,263.3816444,55.582267526,10.9,No,17.368040492,410.3,179.7
13315,Georgia,Wilcox,149.298298,7.636473050348833,12.9,601.5,17.7,0.4363752405,18.51183033928003,19.172085444,38.193197743,35015,73.094170404,34.022727273,0.3181818182,0.6363636364,0.0113636364,4.8295454545,58.977272727,156,20.85566297,4.2606608526,3.8529592316,11.508553655,20.724554598,31.9,7.5,27.9,20.648298217,15.350812939,0.0,429.0,61.237373737,16.800437796,11.41422,45.45455,22.72727,7104.0,36.0,37.0,89.690721649,29.430255403,5.9445660102,35.5,5.4325427546,257.63930497,76.87959299,10.9,No,14.598540146,468.8,185.7
13317,Georgia,Wilkes,69.19972578471497,7.636473050348833,16.1,262.8,20.1,11.46729927,18.51183033928003,14.326442315,38.454213934,34897,67.715940569,41.255560049,0.2628386575,0.9906995552,0.0101091791,5.1253538213,50.677315002,157,22.554965839,4.5056787228,4.197066356,9.8814229249,19.974911295,32.0,6.0,27.6,58.57641839,12.457147615,20.0,790.5,36.964021686,16.7090301,40.79551,20.21836,20.21836,4618.0,36.0,37.0,82.291666667,37.97979798,5.6830031283,35.0,4.8559109875,308.07147258,100.98154057,10.6,No,20.474406991,480.1,187.8
13319,Georgia,Wilkinson,69.19972578471497,7.636473050348833,16.3,156.6,17.6,10.844622297,18.51183033928003,29.232118405,37.700905278,40906,76.581508516,38.229713138,0.4911262418,0.5246121219,0.0223239201,2.9021096104,56.792052684,158,19.882106755,4.2012500817,4.0680158917,11.248454883,19.912665047,35.5,6.6,30.5,2.0704799749,13.459219454,5.0,557.1,42.28222109,13.917808219,21.96837,11.16196,22.32392,5687.0,44.0,39.0,93.333333333,35.240963855,5.721716515,31.7,5.0728069602,179.28031758,80.476770489,11.3,No,11.764705882,494.2,192.6
13321,Georgia,Worth,63.512226104,7.636473050348833,15.3,317.3,16.1,4.13921444,17.747660536,20.963935269,36.41939798,42913,67.641473604,28.037792821,0.3701358788,0.6623484147,0.0827935518,2.0600983782,67.686163736,159,17.54958535,3.9470608321,3.9119252197,12.903225806,19.398925682,35.2,7.4,29.3,51.625997509,14.912265383,10.810810811,410.6,39.720107018,17.359456884,28.91845,9.74042,4.87021,4300.0,44.0,39.0,82.127659574,45.433205292,4.9182080616,32.5,4.4919368339,419.12152129,69.090595043,11.0,No,13.438485804,475.8,170.6
05001,Arkansas,Arkansas,89.291029228,7.636473050348833,15.3,221.8,19.1,17.82182264,18.51183033928003,26.97100232,36.1572473,43752,62.68850754,24.583959481,0.3339455669,0.9628763845,0.0222630378,3.0500361774,69.516335504,161,24.35948554,4.714443704,4.9346157216,10.566258027,19.46592114,33.0,5.7,35.4,47.689152952,12.977119164,46.153846154,547.9,56.386047731,8.904109589,49.41254,44.52608,105.74943,6718.0,29.0,38.0,82.278481013,50.649350649,3.261954954,26.3,4.8525060858,472.89628709,103.27770832,10.0,No,8.9735313105,471.6,199.8
05003,Arkansas,Ashley,57.172557173,7.636473050348833,16.2,92.3,19.2,12.004846939,18.51183033928003,27.879776962,33.270379387,40495,73.991689074,24.592022876,0.7148843859,0.2613025687,0.0936745057,5.4183306217,68.303505399,162,23.493082984,4.7913865966,4.8133501098,11.97740113,20.114611344,40.1,6.2,41.7,50.253969707,13.245191617,24.0,537.5,49.06749556,8.1287305397,43.919579999999996,39.441900000000004,73.95356,7446.0,34.0,40.0,90.217391304,50.475778547,5.730994152,28.5,5.4261955651,320.91965034,76.075651939,9.6,Yes,12.492492492,468.7,206.6
05005,Arkansas,Baxter,41.100113025,7.636473050348833,17.2,78.1,13.9,4.4191340205,23.487486839,19.800742007,31.74083172,43011,75.356016958,0.3288598718,0.7399347116,0.4836174586,0.0556160077,2.3600531979,94.803530407,163,20.29167443,4.677697163,5.0742670533,7.0536074164,17.958789725,35.4,7.8,34.6,75.190904054,12.920551162,16.216216216,243.6,38.676537241,8.5049270653,73.06025,53.197919999999996,285.3343,4915.0,48.0,47.0,85.875706215,60.896445131,4.2314493019,21.0,3.5990423387,182.38793547,102.2973052,9.7,No,11.753371869,471.5,189.2
